Area Type,Area Name,Year,Period,Labor Force,Employment,Unemployment,Unemployment Rate,Seasonally Adjusted (Y N),Status
Sub-County Place,Sierra Village CDP,2011,Annual,100,100,0,0%,N,Final
Sub-County Place,Sierraville CDP,2011,Annual,100,100,0,2%,N,Final
Sub-County Place,Signal Hill city,2011,Annual,"6,100","5,300",800,13.2%,N,Final
Sub-County Place,Silver City CDP,2011,Annual,0,0,0,0%,N,Final
Sub-County Place,Silver Lakes CDP,2011,Annual,"1,900","1,800",100,4.1%,N,Final
Sub-County Place,Silverado Resort CDP,2011,Annual,500,400,100,15.8%,N,Final
Sub-County Place,Simi Valley city,2011,Annual,"69,700","63,300","6,300",9.1%,N,Final
Sub-County Place,Sisquoc CDP,2011,Annual,100,100,0,9%,N,Final
Sub-County Place,Sky Valley CDP,2011,Annual,700,700,100,10.3%,N,Final
Sub-County Place,Sleepy Hollow CDP,2011,Annual,"1,000",900,100,9.7%,N,Final
Sub-County Place,Smartsville CDP,2011,Annual,100,0,0,53.7%,N,Final
Sub-County Place,Smith Corner CDP,2011,Annual,100,100,0,27.7%,N,Final
Sub-County Place,Smith River CDP,2011,Annual,300,300,0,8.8%,N,Final
Sub-County Place,Snelling CDP,2011,Annual,0,0,0,39%,N,Final
Sub-County Place,Soda Bay CDP,2011,Annual,400,300,100,27.6%,N,Final
Sub-County Place,Soda Springs CDP,2011,Annual,100,100,100,61.3%,N,Final
Sub-County Place,Solana Beach city,2011,Annual,"6,800","6,100",600,9.6%,N,Final
Sub-County Place,Soledad city,2011,Annual,"8,500","7,000","1,500",17.2%,N,Final
Sub-County Place,Solvang city,2011,Annual,"2,700","2,400",300,11.5%,N,Final
Sub-County Place,Sonoma city,2011,Annual,"5,000","4,600",500,9.3%,N,Final
Sub-County Place,Sonora city,2011,Annual,"2,300","2,000",300,13.1%,N,Final
Sub-County Place,Soquel CDP,2011,Annual,"5,100","4,600",600,11%,N,Final
Sub-County Place,Soulsbyville CDP,2011,Annual,"1,000",800,200,21.9%,N,Final
Sub-County Place,South Dos Palos CDP,2011,Annual,800,700,100,17.5%,N,Final
Sub-County Place,South El Monte city,2011,Annual,"8,600","8,000",600,6.6%,N,Final
Sub-County Place,South Gate city,2011,Annual,"44,000","37,100","6,900",15.6%,N,Final
Sub-County Place,South Lake Tahoe city,2011,Annual,"11,800","10,300","1,500",12.9%,N,Final
Sub-County Place,South Monrovia Island CDP,2011,Annual,"2,900","2,600",200,8.5%,N,Final
Sub-County Place,South Oroville CDP,2011,Annual,"2,000","1,700",300,15.9%,N,Final
Sub-County Place,South Pasadena city,2011,Annual,"14,400","13,100","1,300",8.7%,N,Final
Sub-County Place,South San Francisco city,2011,Annual,"35,100","32,300","2,800",8%,N,Final
Sub-County Place,South San Gabriel CDP,2011,Annual,"3,700","3,300",400,10.5%,N,Final
Sub-County Place,South San Jose Hills CDP,2011,Annual,"8,400","7,800",600,7.2%,N,Final
Sub-County Place,South Taft CDP,2011,Annual,700,600,100,15.6%,N,Final
Sub-County Place,South Whittier CDP,2011,Annual,"28,400","25,200","3,200",11.1%,N,Final
Sub-County Place,Spaulding CDP,2011,Annual,0,0,0,50.4%,N,Final
Sub-County Place,Spreckels CDP,2011,Annual,400,400,0,0%,N,Final
Sub-County Place,Spring Garden CDP,2011,Annual,0,0,0,0%,N,Final
Sub-County Place,Spring Valley CDP (Lake County),2011,Annual,500,400,0,7.6%,N,Final
Sub-County Place,Spring Valley CDP (San Diego County),2011,Annual,"14,500","12,800","1,700",11.7%,N,Final
Sub-County Place,Spring Valley Lake CDP,2011,Annual,"3,300","3,000",300,10.4%,N,Final
Sub-County Place,Springville CDP,2011,Annual,400,300,100,19.9%,N,Final
Sub-County Place,Squaw Valley CDP,2011,Annual,900,700,200,25.9%,N,Final
Sub-County Place,Squirrel Mountain Valley CDP,2011,Annual,300,300,0,0%,N,Final
Sub-County Place,St. Helena city,2011,Annual,"2,800","2,600",200,6.3%,N,Final
Sub-County Place,Stallion Springs CDP,2011,Annual,"1,600","1,400",200,12.3%,N,Final
Sub-County Place,Stanford CDP,2011,Annual,"5,700","5,500",200,3.3%,N,Final
Sub-County Place,Stanton city,2011,Annual,"19,000","16,800","2,200",11.8%,N,Final
Sub-County Place,Stevenson Ranch CDP,2011,Annual,"8,300","7,700",600,7%,N,Final
Sub-County Place,Stevinson CDP,2011,Annual,100,100,0,15.4%,N,Final
Sub-County Place,Stinson Beach CDP,2011,Annual,300,300,0,0%,N,Final
Sub-County Place,Stirling City CDP,2011,Annual,0,0,0,0%,N,Final
Sub-County Place,Stockton city,2011,Annual,"128,300","106,000","22,300",17.4%,N,Final
Sub-County Place,Stonyford CDP,2011,Annual,0,0,0,26.4%,N,Final
Sub-County Place,Storrie CDP,2011,Annual,0,0,0,0%,N,Final
Sub-County Place,Stratford CDP,2011,Annual,600,500,100,19.2%,N,Final
Sub-County Place,Strathmore CDP,2011,Annual,"1,800","1,200",600,35.6%,N,Final
Sub-County Place,Strawberry CDP (Marin County),2011,Annual,"3,300","2,900",300,10.1%,N,Final
Sub-County Place,Strawberry CDP (Tuolumne County),2011,Annual,100,100,0,0%,N,Final
Sub-County Place,Sugarloaf Mountain Park CDP,2011,Annual,0,0,0,0%,N,Final
Sub-County Place,Sugarloaf Saw Mill CDP,2011,Annual,0,0,0,0%,N,Final
Sub-County Place,Sugarloaf Village CDP,2011,Annual,0,0,0,0%,N,Final
Sub-County Place,Suisun City city,2011,Annual,"14,000","12,500","1,500",10.7%,N,Final
Sub-County Place,Sultana CDP,2011,Annual,200,200,100,28.1%,N,Final
Sub-County Place,Summerland CDP,2011,Annual,900,800,100,11.2%,N,Final
Sub-County Place,Sun Village CDP,2011,Annual,"4,800","4,100",700,15%,N,Final
Sub-County Place,Sunny Slopes CDP,2011,Annual,100,100,0,0%,N,Final
Sub-County Place,Sunnyside CDP,2011,Annual,"2,400","2,100",300,12.4%,N,Final
Sub-County Place,Sunnyside-Tahoe City CDP,2011,Annual,"1,100",900,100,13.5%,N,Final
Sub-County Place,Sunnyvale city,2011,Annual,"78,400","71,800","6,600",8.4%,N,Final
Sub-County Place,Sunol CDP,2011,Annual,400,400,0,1.9%,N,Final
Sub-County Place,Susanville city,2011,Annual,"5,100","4,300",800,16.5%,N,Final
Sub-County Place,Sutter CDP,2011,Annual,"1,600","1,300",300,19.2%,N,Final
Sub-County Place,Sutter Creek city,2011,Annual,"1,100","1,000",100,8.1%,N,Final
Sub-County Place,Swall Meadows CDP,2011,Annual,300,300,0,4.6%,N,Final
Sub-County Place,Taft city,2011,Annual,"3,100","2,800",300,9.8%,N,Final
Sub-County Place,Taft Heights CDP,2011,Annual,900,800,200,16.6%,N,Final
Sub-County Place,Taft Mosswood CDP,2011,Annual,500,400,200,28.9%,N,Final
Sub-County Place,Tahoe Vista CDP,2011,Annual,900,800,0,3.8%,N,Final
Sub-County Place,Tahoma CDP,2011,Annual,500,400,100,21.7%,N,Final
Sub-County Place,Talmage CDP,2011,Annual,400,300,0,5.9%,N,Final
Sub-County Place,Tamalpais-Homestead Valley CDP,2011,Annual,"5,900","5,600",400,6.3%,N,Final
Sub-County Place,Tara Hills CDP,2011,Annual,"2,200","1,800",400,16.9%,N,Final
Sub-County Place,Tarpey Village CDP,2011,Annual,"1,700","1,500",100,8.3%,N,Final
Sub-County Place,Taylorsville CDP,2011,Annual,100,100,0,0%,N,Final
Sub-County Place,Tecopa CDP,2011,Annual,0,0,0,0%,N,Final
Sub-County Place,Tehachapi city,2011,Annual,"4,300","3,800",500,11.5%,N,Final
Sub-County Place,Tehama city,2011,Annual,200,100,0,30.7%,N,Final
Sub-County Place,Temecula city,2011,Annual,"46,900","42,400","4,500",9.7%,N,Final
Sub-County Place,Temelec CDP,2011,Annual,300,300,0,5.2%,N,Final
Sub-County Place,Temescal Valley CDP,2011,Annual,"11,800","10,600","1,200",9.9%,N,Final
Sub-County Place,Temple City city,2011,Annual,"17,200","15,900","1,400",8.1%,N,Final
Sub-County Place,Templeton CDP,2011,Annual,"4,000","3,700",300,7%,N,Final
Sub-County Place,Tennant CDP,2011,Annual,0,0,0,0%,N,Final
Sub-County Place,Terminous CDP,2011,Annual,200,200,0,8.7%,N,Final
Sub-County Place,Terra Bella CDP,2011,Annual,"1,700","1,300",300,19.1%,N,Final
Sub-County Place,Teviston CDP,2011,Annual,500,400,200,31.4%,N,Final
Sub-County Place,Thermal CDP,2011,Annual,"1,600","1,100",400,27.7%,N,Final
Sub-County Place,Thermalito CDP,2011,Annual,"2,300","1,800",500,22.1%,N,Final
Sub-County Place,Thornton CDP,2011,Annual,300,300,0,13%,N,Final
Sub-County Place,Thousand Oaks city,2011,Annual,"67,900","61,100","6,800",10%,N,Final
Sub-County Place,Thousand Palms CDP,2011,Annual,"3,200","2,900",300,9.2%,N,Final
Sub-County Place,Three Rivers CDP,2011,Annual,"1,100","1,000",0,3.6%,N,Final
Sub-County Place,Three Rocks CDP,2011,Annual,0,0,0,40.6%,N,Final
Sub-County Place,Tiburon town,2011,Annual,"4,200","3,900",300,7.5%,N,Final
Sub-County Place,Timber Cove CDP,2011,Annual,100,100,0,4.7%,N,Final
Sub-County Place,Tipton CDP,2011,Annual,900,800,100,10.6%,N,Final
Sub-County Place,Tobin CDP,2011,Annual,0,0,0,0%,N,Final
Sub-County Place,Tomales CDP,2011,Annual,200,200,0,15%,N,Final
Sub-County Place,Tonyville CDP,2011,Annual,100,100,100,37.8%,N,Final
Sub-County Place,Tooleville CDP,2011,Annual,0,0,0,0%,N,Final
Sub-County Place,Topanga CDP,2011,Annual,"4,900","4,500",400,8.1%,N,Final
Sub-County Place,Topaz CDP,2011,Annual,0,0,0,0%,N,Final
Sub-County Place,Toro Canyon CDP,2011,Annual,600,500,0,6.8%,N,Final
Sub-County Place,Torrance city,2011,Annual,"75,500","69,000","6,500",8.6%,N,Final
Sub-County Place,Tracy city,2011,Annual,"41,000","35,300","5,700",13.8%,N,Final
Sub-County Place,Tranquillity CDP,2011,Annual,300,200,0,4.8%,N,Final
Sub-County Place,Traver CDP,2011,Annual,600,500,100,15.3%,N,Final
Sub-County Place,Tres Pinos CDP,2011,Annual,200,100,0,15.8%,N,Final
Sub-County Place,Trinidad city,2011,Annual,200,200,0,6.4%,N,Final
Sub-County Place,Trinity Center CDP,2011,Annual,100,100,0,3.5%,N,Final
Sub-County Place,Trinity Village CDP,2011,Annual,0,0,0,29.1%,N,Final
Sub-County Place,Trona CDP,2011,Annual,0,0,0,0%,N,Final
Sub-County Place,Trowbridge CDP,2011,Annual,100,100,0,9.3%,N,Final
Sub-County Place,Truckee town,2011,Annual,"10,200","9,100","1,100",10.7%,N,Final
Sub-County Place,Tulare city,2011,Annual,"27,200","23,200","4,000",14.6%,N,Final
Sub-County Place,Tulelake city,2011,Annual,400,300,100,22.2%,N,Final
Sub-County Place,Tuolumne City CDP,2011,Annual,900,700,200,18.7%,N,Final
Sub-County Place,Tupman CDP,2011,Annual,100,0,0,11.5%,N,Final
Sub-County Place,Turlock city,2011,Annual,"33,500","28,500","5,000",14.9%,N,Final
Sub-County Place,Tustin city,2011,Annual,"40,500","37,100","3,400",8.5%,N,Final
Sub-County Place,Tuttle CDP,2011,Annual,0,0,0,0%,N,Final
Sub-County Place,Tuttletown CDP,2011,Annual,300,300,100,21.2%,N,Final
Sub-County Place,Twain CDP,2011,Annual,0,0,0,0%,N,Final
Sub-County Place,Twain Harte CDP,2011,Annual,900,800,100,15.7%,N,Final
Sub-County Place,Twentynine Palms city,2011,Annual,"6,700","5,600","1,100",16.3%,N,Final
Sub-County Place,Twin Lakes CDP,2011,Annual,"3,000","2,500",500,17.9%,N,Final
Sub-County Place,Ukiah city,2011,Annual,"7,200","6,000","1,200",16.6%,N,Final
Sub-County Place,Union City city,2011,Annual,"35,200","32,000","3,200",9.2%,N,Final
Sub-County Place,University of California Davis CDP,2011,Annual,300,200,100,22.7%,N,Final
Sub-County Place,University of California Merced CDP,2011,Annual,0,0,0,0%,N,Final
Sub-County Place,Upland city,2011,Annual,"36,100","32,600","3,500",9.6%,N,Final
Sub-County Place,Upper Lake CDP,2011,Annual,300,300,100,20.7%,N,Final
Sub-County Place,Vacaville city,2011,Annual,"43,500","39,300","4,300",9.8%,N,Final
Sub-County Place,Val Verde CDP,2011,Annual,"1,300","1,000",300,23.6%,N,Final
Sub-County Place,Valinda CDP,2011,Annual,"10,100","9,300",800,8.4%,N,Final
Sub-County Place,Valle Vista CDP,2011,Annual,"5,800","5,100",700,12.2%,N,Final
Sub-County Place,Vallecito CDP,2011,Annual,200,200,0,13.4%,N,Final
Sub-County Place,Vallejo city,2011,Annual,"58,700","49,300","9,500",16.2%,N,Final
Sub-County Place,Valley Acres CDP,2011,Annual,200,200,0,0%,N,Final
Sub-County Place,Valley Center CDP,2011,Annual,"4,900","4,500",400,7.7%,N,Final
Sub-County Place,Valley Ford CDP,2011,Annual,100,100,0,0%,N,Final
Sub-County Place,Valley Home CDP,2011,Annual,200,100,0,21.4%,N,Final
Sub-County Place,Valley Ranch CDP,2011,Annual,100,100,0,0%,N,Final
Sub-County Place,Valley Springs CDP,2011,Annual,"2,000","1,600",400,17.8%,N,Final
Sub-County Place,Valley Wells CDP,2011,Annual,0,0,0,0%,N,Final
Sub-County Place,Vandenberg AFB CDP,2011,Annual,900,800,0,5.1%,N,Final
Sub-County Place,Vandenberg Village CDP,2011,Annual,"3,300","2,900",400,11.7%,N,Final
Sub-County Place,Verdi CDP,2011,Annual,100,100,0,0%,N,Final
Sub-County Place,Vernon city,2011,Annual,100,100,0,6.3%,N,Final
Sub-County Place,Victor CDP,2011,Annual,100,100,0,0%,N,Final
Sub-County Place,Victorville city,2011,Annual,"42,700","36,800","5,900",13.7%,N,Final
Sub-County Place,View Park-Windsor Hills CDP,2011,Annual,"5,600","4,900",700,13%,N,Final
Sub-County Place,Villa Park city,2011,Annual,"2,900","2,700",200,8.2%,N,Final
Sub-County Place,Vina CDP,2011,Annual,100,100,0,0%,N,Final
Sub-County Place,Vincent CDP,2011,Annual,"8,400","7,500",900,10.5%,N,Final
Sub-County Place,Vine Hill CDP,2011,Annual,"1,900","1,600",300,14.5%,N,Final
Sub-County Place,Vineyard CDP,2011,Annual,"12,500","11,500",900,7.5%,N,Final
Sub-County Place,Visalia city,2011,Annual,"60,900","52,400","8,500",14%,N,Final
Sub-County Place,Vista city,2011,Annual,"42,600","38,700","3,900",9.2%,N,Final
Sub-County Place,Vista Santa Rosa CDP,2011,Annual,"1,500","1,200",300,19.5%,N,Final
Sub-County Place,Volcano CDP,2011,Annual,0,0,0,0%,N,Final
Sub-County Place,Volta CDP,2011,Annual,100,0,0,55.1%,N,Final
Sub-County Place,Walker CDP,2011,Annual,400,400,0,0%,N,Final
Sub-County Place,Wallace CDP,2011,Annual,100,0,100,78.5%,N,Final
Sub-County Place,Walnut city,2011,Annual,"15,200","13,800","1,300",8.9%,N,Final
Sub-County Place,Walnut Creek city,2011,Annual,"31,600","29,300","2,300",7.2%,N,Final
Sub-County Place,Walnut Grove CDP,2011,Annual,600,500,100,13%,N,Final
Sub-County Place,Walnut Park CDP,2011,Annual,"7,300","6,000","1,200",17%,N,Final
Sub-County Place,Warm Springs CDP,2011,Annual,"1,300","1,000",300,24.7%,N,Final
Sub-County Place,Warner Valley CDP,2011,Annual,0,0,0,0%,N,Final
Sub-County Place,Wasco city,2011,Annual,"8,500","6,900","1,600",19.3%,N,Final
Sub-County Place,Washington CDP,2011,Annual,0,0,0,0%,N,Final
Sub-County Place,Waterford city,2011,Annual,"4,100","3,300",800,19.5%,N,Final
Sub-County Place,Waterloo CDP,2011,Annual,100,100,0,14.1%,N,Final
Sub-County Place,Watsonville city,2011,Annual,"25,300","21,100","4,200",16.5%,N,Final
Sub-County Place,Waukena CDP,2011,Annual,0,0,0,0%,N,Final
Sub-County Place,Wawona CDP,2011,Annual,0,0,0,0%,N,Final
Sub-County Place,Weaverville CDP,2011,Annual,"1,600","1,500",100,7.3%,N,Final
Sub-County Place,Weed city,2011,Annual,"1,500","1,200",300,17.2%,N,Final
Sub-County Place,Weedpatch CDP,2011,Annual,"1,300","1,000",300,24.2%,N,Final
Sub-County Place,Weldon CDP,2011,Annual,600,500,0,8.5%,N,Final
Sub-County Place,Weott CDP,2011,Annual,0,0,0,0%,N,Final
Sub-County Place,West Athens CDP,2011,Annual,"4,000","3,600",400,10.6%,N,Final
Sub-County Place,West Bishop CDP,2011,Annual,"1,600","1,500",100,5.4%,N,Final
Sub-County Place,West Carson CDP,2011,Annual,"11,200","9,900","1,400",12.1%,N,Final
Sub-County Place,West Covina city,2011,Annual,"54,000","46,000","7,900",14.7%,N,Final
Sub-County Place,West Goshen CDP,2011,Annual,200,200,0,6.7%,N,Final
Sub-County Place,West Hollywood city,2011,Annual,"24,600","22,100","2,500",10.2%,N,Final
Sub-County Place,West Menlo Park CDP,2011,Annual,"1,800","1,700",100,3.8%,N,Final
Sub-County Place,West Modesto CDP,2011,Annual,"2,500","1,700",700,30.2%,N,Final
Sub-County Place,West Park CDP,2011,Annual,500,400,100,13.4%,N,Final
Sub-County Place,West Point CDP,2011,Annual,300,200,0,17.2%,N,Final
Sub-County Place,West Puente Valley CDP,2011,Annual,"10,500","9,000","1,500",14.3%,N,Final
Sub-County Place,West Rancho Dominguez CDP,2011,Annual,"2,300","1,800",500,22.6%,N,Final
Sub-County Place,West Sacramento city,2011,Annual,"24,500","21,200","3,300",13.6%,N,Final
Sub-County Place,West Whittier-Los Nietos CDP,2011,Annual,"11,500","9,900","1,600",13.8%,N,Final
Sub-County Place,Westhaven-Moonstone CDP,2011,Annual,500,400,100,12.8%,N,Final
Sub-County Place,Westlake Village city,2011,Annual,"4,100","3,700",500,11.1%,N,Final
Sub-County Place,Westley CDP,2011,Annual,400,300,200,35.1%,N,Final
Sub-County Place,Westminster city,2011,Annual,"43,100","37,800","5,300",12.3%,N,Final
Sub-County Place,Westmont CDP,2011,Annual,"12,900","10,700","2,100",16.6%,N,Final
Sub-County Place,Westmorland city,2011,Annual,900,600,300,29.5%,N,Final
Sub-County Place,Westwood CDP,2011,Annual,800,500,200,29.5%,N,Final
Sub-County Place,Wheatland city,2011,Annual,"1,600","1,300",300,18.4%,N,Final
Sub-County Place,Whitehawk CDP,2011,Annual,0,0,0,0%,N,Final
Sub-County Place,Whitewater CDP,2011,Annual,200,200,0,0%,N,Final
Sub-County Place,Whitley Gardens CDP,2011,Annual,100,100,0,0%,N,Final
Sub-County Place,Whittier city,2011,Annual,"42,000","37,900","4,100",9.7%,N,Final
Sub-County Place,Wildomar city,2011,Annual,"15,300","13,300","2,000",13.2%,N,Final
Sub-County Place,Wilkerson CDP,2011,Annual,300,300,0,0%,N,Final
Sub-County Place,Williams city,2011,Annual,"3,000","2,200",800,25.8%,N,Final
Sub-County Place,Willits city,2011,Annual,"2,200","2,000",200,9.1%,N,Final
Sub-County Place,Willow Creek CDP,2011,Annual,600,500,100,12.2%,N,Final
Sub-County Place,Willowbrook CDP,2011,Annual,"14,500","11,800","2,800",19%,N,Final
Sub-County Place,Willows city,2011,Annual,"3,000","2,500",500,17.2%,N,Final
Sub-County Place,Wilsonia CDP,2011,Annual,0,0,0,0%,N,Final
Sub-County Place,Wilton CDP,2011,Annual,"1,900","1,700",100,6.8%,N,Final
Sub-County Place,Winchester CDP,2011,Annual,"1,500","1,300",200,12.6%,N,Final
Sub-County Place,Windsor town,2011,Annual,"13,300","12,100","1,200",8.9%,N,Final
Sub-County Place,Winter Gardens CDP,2011,Annual,"10,900","9,600","1,300",12.2%,N,Final
Sub-County Place,Winterhaven CDP,2011,Annual,100,100,100,39.2%,N,Final
Sub-County Place,Winters city,2011,Annual,"3,700","3,300",400,10.6%,N,Final
Sub-County Place,Winton CDP,2011,Annual,"5,100","4,000","1,000",20.4%,N,Final
Sub-County Place,Wofford Heights CDP,2011,Annual,700,700,100,7.8%,N,Final
Sub-County Place,Woodacre CDP,2011,Annual,800,800,0,4%,N,Final
Sub-County Place,Woodbridge CDP,2011,Annual,"2,000","1,800",200,10.5%,N,Final
Sub-County Place,Woodcrest CDP,2011,Annual,"7,500","6,800",700,9.7%,N,Final
Sub-County Place,Woodlake city,2011,Annual,"3,400","2,700",700,21.5%,N,Final
Sub-County Place,Woodland city,2011,Annual,"28,700","25,200","3,600",12.4%,N,Final
Sub-County Place,Woodlands CDP,2011,Annual,100,100,0,16.6%,N,Final
Sub-County Place,Woodside town,2011,Annual,"2,300","2,200",100,2.7%,N,Final
Sub-County Place,Woodville CDP,2011,Annual,"1,000",800,200,21.4%,N,Final
Sub-County Place,Wrightwood CDP,2011,Annual,"2,100","2,000",100,6.8%,N,Final
Sub-County Place,Yankee Hill CDP,2011,Annual,100,100,0,31.2%,N,Final
Sub-County Place,Yettem CDP,2011,Annual,100,100,0,33%,N,Final
Sub-County Place,Yolo CDP,2011,Annual,200,100,0,14.5%,N,Final
Sub-County Place,Yorba Linda city,2011,Annual,"33,500","30,800","2,700",8%,N,Final
Sub-County Place,Yosemite Lakes CDP,2011,Annual,"2,400","2,000",400,16.2%,N,Final
Sub-County Place,Yosemite Valley CDP,2011,Annual,700,700,0,0%,N,Final
Sub-County Place,Yountville city,2011,Annual,"1,200","1,100",100,9.8%,N,Final
Sub-County Place,Yreka city,2011,Annual,"3,000","2,300",700,23%,N,Final
Sub-County Place,Yuba City city,2011,Annual,"31,900","25,800","6,200",19.3%,N,Final
Sub-County Place,Yucaipa city,2011,Annual,"23,900","20,800","3,100",13.1%,N,Final
Sub-County Place,Yucca Valley town,2011,Annual,"7,900","6,600","1,200",15.9%,N,Final
Sub-County Place,Zayante CDP,2011,Annual,500,400,100,22.7%,N,Final
Sub-County Place,Acton CDP,2010,Annual,"3,500","3,200",300,9.1%,N,Final
Sub-County Place,Adelanto city,2010,Annual,"9,300","7,300","2,000",21.5%,N,Final
Sub-County Place,Agoura Hills city,2010,Annual,"11,200","10,000","1,200",10.5%,N,Final
Sub-County Place,Alameda city,2010,Annual,"39,300","35,600","3,700",9.5%,N,Final
Sub-County Place,Alamo CDP,2010,Annual,"6,800","6,300",400,6.4%,N,Final
Sub-County Place,Albany city,2010,Annual,"9,300","8,600",700,7.2%,N,Final
Sub-County Place,Alhambra city,2010,Annual,"43,400","39,800","3,600",8.3%,N,Final
Sub-County Place,Aliso Viejo city,2010,Annual,"27,900","25,800","2,200",7.7%,N,Final
Sub-County Place,Alondra Park CDP,2010,Annual,"4,400","3,800",600,13.2%,N,Final
Sub-County Place,Alpaugh CDP,2010,Annual,400,300,100,24.3%,N,Final
Sub-County Place,Alpine Village CDP,2010,Annual,100,100,0,39.2%,N,Final
Sub-County Place,Alta Sierra CDP,2010,Annual,"3,100","2,900",200,7.2%,N,Final
Sub-County Place,Altadena CDP,2010,Annual,"23,300","20,900","2,500",10.6%,N,Final
Sub-County Place,Alturas city,2010,Annual,"1,100","1,000",100,11.3%,N,Final
Sub-County Place,Amador City city,2010,Annual,100,100,0,7.2%,N,Final
Sub-County Place,American Canyon city,2010,Annual,"10,000","8,800","1,200",12%,N,Final
Sub-County Place,Anaheim city,2010,Annual,"169,000","148,400","20,600",12.2%,N,Final
Sub-County Place,Anderson city,2010,Annual,"4,400","3,500",900,19.6%,N,Final
Sub-County Place,Angels city,2010,Annual,"1,700","1,600",100,5.3%,N,Final
Sub-County Place,Angwin CDP,2010,Annual,"2,200","2,100",100,6.8%,N,Final
Sub-County Place,Antelope CDP,2010,Annual,"22,300","20,700","1,600",7.4%,N,Final
Sub-County Place,Antioch city,2010,Annual,"49,600","42,200","7,400",14.8%,N,Final
Sub-County Place,Apple Valley town,2010,Annual,"27,100","23,200","3,900",14.4%,N,Final
Sub-County Place,Aptos CDP,2010,Annual,"3,500","3,300",300,7.4%,N,Final
Sub-County Place,Aptos Hills-Larkin Valley CDP,2010,Annual,"1,300","1,300",0,2.1%,N,Final
Sub-County Place,Arbuckle CDP,2010,Annual,"1,400","1,200",300,20.5%,N,Final
Sub-County Place,Arcadia city,2010,Annual,"27,200","25,200","2,000",7.4%,N,Final
Sub-County Place,Arcata city,2010,Annual,"9,000","7,900","1,200",13%,N,Final
Sub-County Place,Arden-Arcade CDP,2010,Annual,"45,800","40,200","5,600",12.3%,N,Final
Sub-County Place,Armona CDP,2010,Annual,"1,400","1,100",300,18.4%,N,Final
Sub-County Place,Arnold CDP,2010,Annual,"1,800","1,500",300,15.9%,N,Final
Sub-County Place,Aromas CDP,2010,Annual,"1,300","1,100",200,12.4%,N,Final
Sub-County Place,Arroyo Grande city,2010,Annual,"8,900","8,100",800,8.8%,N,Final
Sub-County Place,Artesia city,2010,Annual,"8,400","7,700",700,7.9%,N,Final
Sub-County Place,Arvin city,2010,Annual,"8,600","7,100","1,600",18.1%,N,Final
Sub-County Place,Ashland CDP,2010,Annual,"10,800","9,600","1,200",11.4%,N,Final
Sub-County Place,Atascadero city,2010,Annual,"14,200","13,000","1,200",8.4%,N,Final
Sub-County Place,Atherton town,2010,Annual,"2,700","2,500",200,8.4%,N,Final
Sub-County Place,Atwater city,2010,Annual,"12,400","9,900","2,400",19.6%,N,Final
Sub-County Place,Auberry CDP,2010,Annual,"1,100","1,000",100,8.3%,N,Final
Sub-County Place,Auburn city,2010,Annual,"6,800","5,900",900,13.4%,N,Final
Sub-County Place,August CDP,2010,Annual,"3,300","2,500",900,26.1%,N,Final
Sub-County Place,Avalon city,2010,Annual,"2,100","1,900",200,10.6%,N,Final
Sub-County Place,Avenal city,2010,Annual,"5,100","4,000","1,100",21.5%,N,Final
Sub-County Place,Avery CDP,2010,Annual,100,100,0,0%,N,Final
Sub-County Place,Avocado Heights CDP,2010,Annual,"7,800","6,700","1,200",14.9%,N,Final
Sub-County Place,Azusa city,2010,Annual,"22,500","20,400","2,200",9.6%,N,Final
Sub-County Place,Bakersfield city,2010,Annual,"166,000","142,700","23,400",14.1%,N,Final
Sub-County Place,Baldwin Park city,2010,Annual,"35,600","29,800","5,800",16.2%,N,Final
Sub-County Place,Banning city,2010,Annual,"10,300","9,000","1,300",12.3%,N,Final
Sub-County Place,Barstow city,2010,Annual,"9,200","8,000","1,200",12.7%,N,Final
Sub-County Place,Bay Point CDP,2010,Annual,"9,900","8,400","1,500",15.3%,N,Final
Sub-County Place,Bayview CDP (Contra Costa County),2010,Annual,"1,100","1,000",100,12.7%,N,Final
Sub-County Place,Bayview CDP (Humboldt County),2010,Annual,"1,300","1,200",100,9.7%,N,Final
Sub-County Place,Beale AFB CDP,2010,Annual,500,400,100,15.6%,N,Final
Sub-County Place,Bear Valley CDP (Alpine County),2010,Annual,0,0,0,10.2%,N,Final
Sub-County Place,Bear Valley Springs CDP,2010,Annual,"2,300","2,200",100,6.4%,N,Final
Sub-County Place,Beaumont city,2010,Annual,"16,300","14,900","1,400",8.4%,N,Final
Sub-County Place,Beckwourth CDP,2010,Annual,200,200,0,22.4%,N,Final
Sub-County Place,Belden CDP,2010,Annual,0,0,0,0%,N,Final
Sub-County Place,Bell city,2010,Annual,"15,600","13,000","2,600",16.6%,N,Final
Sub-County Place,Bell Gardens city,2010,Annual,"18,200","15,600","2,600",14.3%,N,Final
Sub-County Place,Bellflower city,2010,Annual,"35,500","31,300","4,200",11.9%,N,Final
Sub-County Place,Belmont city,2010,Annual,"14,600","13,500","1,100",7.4%,N,Final
Sub-County Place,Ben Lomond CDP,2010,Annual,"3,600","3,000",600,16.3%,N,Final
Sub-County Place,Benicia city,2010,Annual,"14,200","13,100","1,100",8%,N,Final
Sub-County Place,Berkeley city,2010,Annual,"58,300","53,100","5,200",8.9%,N,Final
Sub-County Place,Bermuda Dunes CDP,2010,Annual,"3,900","3,300",600,15.7%,N,Final
